	eventtype	dataset	era	nevents	nfiles	files
#0	Data	MET	arizzi-NanoCrabXmasRun2016B-03Feb2017_ver1-v1___17_ver1-v1__1063-f8223236c4f36ff7077fef2169c021d7	583427	3	['/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver1-v1___17_ver1-v1__1063/171223_083029/0000/nano_2.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver1-v1___17_ver1-v1__1063/171223_083029/0000/nano_1.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver1-v1___17_ver1-v1__1063/171223_083029/0000/nano_3.root']
#1	Data	MET	arizzi-NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062-f8223236c4f36ff7077fef2169c021d7	29229181	118	['/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_32.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_27.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_7.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_78.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_89.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_79.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_72.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_76.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_75.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_133.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_116.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_122.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_138.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_20.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_23.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_29.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_46.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_3.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_68.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_30.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_144.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_71.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_4.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_36.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_113.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_114.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_97.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_143.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_33.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_18.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_13.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_25.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_69.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_51.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_93.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_104.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_11.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_34.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_145.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_135.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_118.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_37.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_8.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_9.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_120.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_49.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_1.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_94.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_127.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_12.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_91.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_101.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_88.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_81.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_73.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_85.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_84.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_90.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_80.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_87.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_83.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_77.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_74.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_124.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_109.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_106.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_6.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_61.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_50.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_42.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_56.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_54.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_121.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_137.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_16.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_21.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_44.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_82.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_64.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_57.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_96.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_19.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_53.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_39.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_40.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_15.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_26.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_142.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_132.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_110.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_41.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_130.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_111.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_125.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_123.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_129.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_103.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_117.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_126.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_134.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_112.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_43.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_99.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_119.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_24.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_2.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_22.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_67.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_139.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_55.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_115.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_52.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_17.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_14.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_86.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_28.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_140.root', '/store/user/arizzi/NanoCrabProdXmas/MET/NanoCrabXmasRun2016B-03Feb2017_ver2-v2___17_ver2-v2__1062/171223_083016/0000/nano_131.root']
